Session ID,Title,Format,Type,Estimated Capacity,Subject/Topic,Sponsor,Start Time,End Time,Room ID,Date
7956,Sino-French Exchanges in the Long Nineteenth Century,Panel,Forum Sessions,40,French Literature: Eighteenth and Nineteenth Centuries,['LLC 19th-Century French'],15:30:00,16:45:00,60,1/11
7959,Editors’ Roundtable: Futures of American Literary Scholarship,Roundtable,Allied Organizations,50,American Literature: General,['American Literature Society'],13:45:00,15:00:00,8,1/11
7960,"Second-Language Research and Practice: Looking Back, Moving Forward",Panel,Allied Organizations,30,Teaching: Language,['American Association of University Supervisors and Coordinators'],17:15:00,18:30:00,60,1/11
7969,Data and Justice,Panel,Forum Sessions,75,"Genre, Theory, Method: Electronic Technology (Teaching, Research, and Theory)",['TC Digital Humanities'],19:00:00,20:15:00,60,1/11
7976,Migration in a Global German Studies: Positionalities,Panel,Forum Sessions,30,German Literature: Twentieth and Twenty-First Centuries,['LLC 20th- and 21st-Century German'],08:30:00,09:45:00,61,1/11
7990,Popular Culture and Technology,Panel,Forum Sessions,50,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",['TC Popular Culture'],10:15:00,11:30:00,61,1/11
7993,"Being Human, Technology, and New Media",Panel,Forum Sessions,20,Linguistics: General,['LSL Language Change'],12:00:00,13:15:00,61,1/11
8012,Time (Again) for E. P. Thompson,Panel,Forum Sessions,25,British Literature: Late Eighteenth Century,['LLC Late-18th-Century English'],13:45:00,15:00:00,61,1/11
8018,“On Theme” / “V Teme”: Sex and Text on the Soviet Periphery,Panel,Allied Organizations,25,Slavic and East European Literatures: Slavic and East European Literatures,['American Association of Teachers of Slavic and East European Languages'],15:30:00,16:45:00,61,1/11
8027,Skaldic Poetry at the MLA,Panel,Forum Sessions,20,Scandinavian Literatures: Scandinavian Literatures,['LLC Old Norse'],17:15:00,18:30:00,61,1/11
8031,Semantic Relations and Personal Names,Panel,Allied Organizations,20,Comparative Literature: General,['American Name Society'],19:00:00,20:15:00,61,1/11
8050,MLA Language Enrollment Census: Models of Successful Programs,Roundtable,MLA Committees,40,Teaching: Language,['MLA Office of Programs'],08:30:00,09:45:00,7,1/11
8058,Making the Invisible Minor Robust,Roundtable,MLA Committees,30,Teaching: Language,['ADFL Executive Committee'],15:30:00,16:45:00,3,1/11
8064,Animal Thinking,Panel,Forum Sessions,20,Provençal Literature: Provençal Literature,['LLC Occitan'],08:30:00,09:45:00,62,1/11
8068,"“Mankind Was My Business!”: Dickens and the Exploration of Humanity, Humanism, and Being Human",Panel,Allied Organizations,25,British Literature: Nineteenth Century,['Dickens Society'],10:15:00,11:30:00,62,1/11
8069,"New Models for Master’s Degrees in Languages, Cultures, Media, and Digital Humanities",Roundtable,MLA Committees,40,Teaching: Language,['ADFL Executive Committee'],10:15:00,11:30:00,7,1/11
8070,Migration in a Global German Studies: Performances and Histories,Panel,Forum Sessions,30,German Literature: Twentieth and Twenty-First Centuries,['LLC 20th- and 21st-Century German'],12:00:00,13:15:00,62,1/11
8075,Migration in a Global German Studies: Memory,Panel,Forum Sessions,50,German Literature: Twentieth and Twenty-First Centuries,['LLC 20th- and 21st-Century German'],13:45:00,15:00:00,62,1/11
8113,The Letterpress Studio as a Campus Maker Space,Roundtable,Forum Sessions,30,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",['TM Bibliography and Scholarly Editing'],13:45:00,15:00:00,3,1/11
8114,Three Methodological Approaches to Studying Literacy Transactions in Practice,Panel,Forum Sessions,10,"Genre, Theory, Method: Writing Studies",['RCWS Literacy Studies'],15:30:00,16:45:00,62,1/11
8118,Galician Narco-Poetics: From Subaltern Narratives to Global Fictions,Panel,Forum Sessions,20,Galician Literature: Galician Literature,['LLC Galician'],17:15:00,18:30:00,62,1/11
8126,Sephardic Cultural Expressions in the Portuguese- and Spanish-Speaking Americas and Beyond,Panel,Forum Sessions,20,Jewish Literature: Jewish Literature,['LLC Sephardic'],19:00:00,20:15:00,62,1/11
8127,Romanticism:  20/20 Hindsight,Panel,Forum Sessions,60,British Literature: Nineteenth Century,['LLC English Romantic'],08:30:00,09:45:00,63,1/11
8133,"Migrants, Exiles, and Refugees in the Work of Doris Lessing",Panel,Allied Organizations,25,British Literature: Twentieth and Twenty-First Centuries,['Doris Lessing Society'],10:15:00,11:30:00,63,1/11
8134,In/Sight of Seattle,Panel,Forum Sessions,15,"Genre, Theory, Method: Film, Television, and Other Media",['MS Visual Culture'],12:00:00,13:15:00,63,1/11
8138,New Directions in Visual Culture,Panel,Forum Sessions,30,"Genre, Theory, Method: Film, Television, and Other Media",['MS Visual Culture'],13:45:00,15:00:00,63,1/11
8141,Career Pathways for Job Seekers in Languages,Roundtable,MLA Committees,40,The Profession: Foreign Languages,['Association of Departments of Foreign Languages'],13:45:00,15:00:00,7,1/11
8145,Borders of the Human: Migration and/in Literature,Panel,Forum Sessions,30,Hungarian Literature: Hungarian Literature,['LLC Hungarian'],15:30:00,16:45:00,63,1/11
8147,Being Human in Dostoevsky,Panel,Allied Organizations,25,Slavic and East European Literatures: Slavic and East European Literatures,['International Dostoevsky Society'],17:15:00,18:30:00,63,1/11
8150,"Empires, States, Forms",Panel,Forum Sessions,30,Hungarian Literature: Hungarian Literature,['LLC Hungarian'],19:00:00,20:15:00,63,1/11
8160,Exploring Strategies for LGBTQIA+ Inclusion in Language Classrooms,Roundtable,MLA Committees,40,Teaching: Language,['ADFL Executive Committee'],19:00:00,20:15:00,7,1/11
8168,Placeholder - GS Nonfiction Prose,Panel,Forum Sessions,25,,['GS Nonfiction Prose'],08:30:00,09:45:00,64,1/11
8172,Building Authentic and Articulated Learning Experiences that All Students Can Access,Roundtable,MLA Committees,50,Teaching: General,['MLA Committee on K–16 Alliances'],12:00:00,13:15:00,8,1/11
8183,"Integrated Learning Experiences in the Humanities and Art with Science, Technology, Engineering, and Medicine",Roundtable,MLA Committees,75,Teaching: General,['MLA Office of the Executive Director'],15:30:00,16:45:00,8,1/11
8186,Research Projects from the MLA Reading-Writing Pedagogy Institutes,Roundtable,MLA Committees,50,Teaching: Writing,['MLA Office of the Executive Director'],17:15:00,18:30:00,8,1/11
6431,Humanizing Online Literature Classes,Workshop,Special Sessions,30,Teaching: Literature,[''],08:30:00,09:45:00,15,1/12
6470,Reading Whitman Anew,Panel,Special Sessions,25,American Literature: Before 1900,[''],10:15:00,11:30:00,1,1/12
6483,Autotheoretical Grammar: Undoing the Singular and Other Experiments in Political Endurance,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",[''],12:00:00,13:15:00,1,1/12
6493,The Uncanny Topicality of African American Literature,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,[''],13:45:00,15:00:00,1,1/12
6506,Fighting Exploitation of Contingent Faculty Members from Within: How Tenure-Stream Allies Can Help Create Equity on Campus,Workshop,Special Sessions,50,The Profession: General,[''],15:30:00,16:45:00,15,1/12
6508,The Eunuch: Past(s) and Present(s),Panel,Special Sessions,30,Comparative Literature: General,[''],17:15:00,18:30:00,1,1/12
6518,Shakespearean Phenomenology,Panel,Special Sessions,25,British Literature: Shakespeare,[''],19:00:00,20:15:00,1,1/12
7160,Academic Empire,Roundtable,Linked Sessions,50,The Profession: General,['MLA Committee on the Literatures of People of Color in the United States and Canada'],08:30:00,09:45:00,2,1/12
7165,Digital Humanities and Open Scholarship: An Introduction,Workshop,MLA Committees,55,The Profession: General,['MLA Career Center'],10:15:00,11:30:00,15,1/12
7168,"Critical Pedagogies: Precarity, Contingency, and Professional Practice",Panel,Linked Sessions,50,The Profession: General,['MLA Committee on the Literatures of People of Color in the United States and Canada'],12:00:00,13:15:00,10,1/12
7212,Institutional Contexts and the Shaping and Reshaping of Power,Roundtable,MLA Committees,40,The Profession: General,['MLA Committee on the Status of Women in the Profession'],13:45:00,15:00:00,2,1/12
7241,Intellectual Work and the End of Higher Education,Roundtable,MLA Committees,30,The Profession: General,['MLA Office of Scholarly Communication'],17:15:00,18:30:00,2,1/12
7445,Graduate Student Mentoring,Roundtable,MLA Committees,100,The Profession: General,['MLA Committee on the Status of Graduate Students in the Humanities'],19:00:00,20:15:00,8,1/12
7570,Without Papers,Panel,Forum Sessions,25,American Literature: Twentieth and Twenty-First Centuries,['LLC Literatures of the United States in Languages Other Than English'],08:30:00,09:45:00,1,1/12
7586,"Corpse Female: Reproduction, Embodiment, and the Feminine in Faulkner",Panel,Allied Organizations,50,American Literature: Twentieth and Twenty-First Centuries,['William Faulkner Society'],15:30:00,16:45:00,1,1/12
7680,Are We in a New Southern Literary Renaissance?,Panel,Forum Sessions,40,American Literature: Twentieth and Twenty-First Centuries,['LLC Southern United States'],10:15:00,11:30:00,10,1/12
7685,Legacies of Ursula K. Le Guin (1929–2018),Panel,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,['GS Speculative Fiction'],17:15:00,18:30:00,10,1/12
7749,Digital Humanities as Activism,Panel,Forum Sessions,25,American Literature: Twentieth and Twenty-First Centuries,['LLC African American'],12:00:00,13:15:00,9,1/12
7763,Literatures of the Missing and Murdered Indigenous Women and Girls (MMIWG) Movement,Panel,Allied Organizations,30,American Literature: Twentieth and Twenty-First Centuries,['Association for the Study of American Indian Literatures'],19:00:00,20:15:00,9,1/12
